FoodID,FoodCode,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,FoodDateOfEntry,FoodDateOfPublication,CountryCode,ScientificName,Carbs,Calories,Fats,Fibre,Protein,Sugars
2,2,22,20,Cheese souffle,Soufflé au fromage,1981-01-01,,,,5.91,204.0,15.7,0.1,9.54,2.66
4,4,22,20,"Chop suey, with meat, canned","Chop suey, avec viande, conserve",1981-01-01,,,,5.29,60.0,2.8,1.1,4.07,3.4
5,5,22,0,"Chinese dish, chow mein, chicken","Mets chinois, chow mein, poulet",1981-01-01,,36623.0,,8.29,85.0,2.8,1.0,6.76,1.74
6,6,18,20,Corn fritter,"Maïs, beignet",1981-01-01,,,,38.62,374.0,21.24,2.0,8.55,2.85
7,7,22,36,"Beef pot roast, with browned potatoes, peas and corn","Boeuf braisé, avec pomme de terre au four, pois et maïs",1981-01-01,,,,10.72,179.0,5.25,1.6,21.29,1.44
8,8,22,30,"Fried chicken, mashed potatoes and vegetables",Poulet frit avec pommes de terre en purée et légumes,1981-01-01,,,,11.3,173.0,8.5,1.0,12.8,
9,9,22,30,"Meat loaf with tomato sauce, mashed potatoes and peas","Pain de viande avec sauce aux tomates, pommes de terre en purée et pois",1981-01-01,,,,9.8,131.0,6.7,1.2,8.0,
10,10,22,30,Sliced turkey with mashed potatoes and peas,Dinde tranchée avec pommes de terre en purée et pois,1981-01-01,,,,12.7,112.0,3.0,1.1,8.4,
13,13,2,20,"Vinegar, cider","Vinaigre, cidre",1981-01-01,,2048.0,,0.93,22.0,0.0,0.0,0.0,0.4
14,14,2,0,"Vinegar, distilled (white)","Vinaigre, distillé (blanc)",1981-01-01,,2053.0,,0.04,18.0,0.0,0.0,0.0,0.04
16,16,1,0,"Butter, whipped",Beurre fouetté,1981-01-01,,1002.0,,0.06,717.0,81.11,0.0,0.85,0.06
17,17,1,0,"Butter oil, anhydrous","Huile de beurre, anhydre",1981-01-01,,1003.0,,0.0,876.0,99.48,0.0,0.28,0.0
18,18,1,3,"Cheese, blue",Fromage bleu,1981-01-01,,1004.0,,2.34,353.0,28.74,0.0,21.4,0.5
19,19,1,0,"Cheese, brick",Fromage brick,1981-01-01,,1005.0,,2.79,371.0,29.68,0.0,23.24,0.51
20,20,1,0,"Cheese, brie",Fromage brie,1981-01-01,,1006.0,,0.45,334.0,27.68,0.0,20.75,0.45
21,21,1,0,"Cheese, camembert",Fromage camembert,1981-01-01,,1007.0,,0.46,300.0,24.26,0.0,19.8,0.46
22,22,1,0,"Cheese, caraway",Fromage carvi,1981-01-01,,1008.0,,3.06,376.0,29.2,0.0,25.18,
23,23,1,0,"Cheese, cheshire",Fromage cheshire,1981-01-01,,1010.0,,4.78,387.0,30.6,0.0,23.37,
24,24,1,0,"Cheese, colby",Fromage colby,1981-01-01,,1011.0,,2.57,394.0,32.11,0.0,23.76,0.52
25,25,1,0,"Cheese, cottage, creamed (4.5% M.F.)","Fromage cottage en crème (4,5% M.G.)",1981-01-01,,1012.0,,3.38,99.0,4.3,0.0,11.12,2.67
26,26,1,0,"Cheese, cottage, creamed with fruit",Fromage cottage en crème avec fruits,1981-01-01,,1013.0,,4.61,97.0,3.85,0.2,10.69,2.38
27,27,1,0,"Cheese, cottage, uncreamed, dry curd (0.4% M.F.)","Fromage cottage sec pressé (0,4% M.G.)",1981-01-01,,1014.0,,6.66,72.0,0.29,0.0,10.34,1.85
28,28,1,3,"Cheese, cream",Fromage à la crème,1981-01-01,,1017.0,,4.07,342.0,34.24,0.0,5.93,3.21
29,29,1,0,"Cheese, edam",Fromage edam,1981-01-01,,1018.0,,1.43,357.0,27.8,0.0,24.99,1.43
30,30,1,0,"Cheese, fontina",Fromage fontina,1981-01-01,,1020.0,,1.55,389.0,31.14,0.0,25.6,1.55
31,31,1,0,"Cheese, gjetost",Fromage gjetost,1981-01-01,,1021.0,,42.65,466.0,29.51,0.0,9.65,
32,32,1,0,"Cheese, gruyere",Fromage gruyère,1981-01-01,,1023.0,,0.36,413.0,32.34,0.0,29.81,0.36
33,33,1,3,"Cheese, limburger",Fromage limburger (limbourg),1981-01-01,,1024.0,,0.49,327.0,27.25,0.0,20.05,0.49
34,34,1,3,"Cheese, monterey",Fromage monterey,1981-01-01,,1025.0,,0.68,374.0,30.28,0.0,24.48,0.5
35,35,1,0,"Cheese, mozzarella, (48% water, 25% M.F.)","Fromage mozzarella (48%d'humidité, 25% M.G.)",1981-01-01,,1027.0,,2.47,319.0,24.64,0.0,21.6,1.01
37,37,1,0,"Cheese, muenster",Fromage muenster,1981-01-01,,1030.0,,1.12,368.0,30.04,0.0,23.41,1.12
38,38,1,0,"Cheese, neufchatel",Fromage neufchatel,1981-01-01,,1031.0,,3.59,253.0,22.78,0.0,9.15,3.19
39,39,1,0,"Cheese, parmesan, dry grated","Fromage parmesan, râpé",1981-01-01,,1032.0,,13.91,420.0,27.84,0.0,28.42,0.07
40,40,1,3,"Cheese, parmesan, hard","Fromage parmesan, pâte dure",1981-01-01,,1033.0,,3.22,392.0,25.83,0.0,35.75,0.8
41,41,1,0,"Cheese, port-salut",Fromage port-salut,1981-01-01,,1034.0,,0.57,352.0,28.2,0.0,23.78,0.57
42,42,1,0,"Cheese, provolone",Fromage provolone,1981-01-01,,1035.0,,2.14,352.0,26.62,0.0,25.58,0.56
43,43,1,0,"Cheese, ricotta, with whole milk","Fromage ricotta, avec lait entier",1981-01-01,,1036.0,,3.04,174.0,12.98,0.0,11.26,0.27
44,44,1,0,"Cheese, ricotta, with partly skimmed milk","Fromage ricotta, avec lait partiellement écrémé",1981-01-01,,1037.0,,5.14,138.0,7.91,0.0,11.39,0.31
45,45,1,3,"Cheese, romano",Fromage romano,1981-01-01,,1038.0,,3.63,387.0,26.94,0.0,31.8,0.73
46,46,1,0,"Cheese, roquefort (blue)",Fromage roquefort (bleu),1981-01-01,,1039.0,,2.0,369.0,30.64,0.0,21.54,
47,47,1,3,"Cheese, swiss (emmental)",Fromage suisse (emmental),1981-01-01,,1040.0,,5.38,380.0,27.8,0.0,26.93,1.32
48,48,1,3,"Cheese, tilsit, with whole milk","Fromage tilsit, avec lait entier",1981-01-01,,1041.0,,1.88,340.0,25.98,0.0,24.41,
51,51,1,0,"Cheese, processed, cheddar, cold pack","Fromage fondu, préparation, cheddar, conditionné à froid",1981-01-01,,1045.0,,8.32,331.0,24.46,0.0,19.66,0.51
52,52,1,0,"Cheese, processed food, swiss, loaf","Fromage fondu, préparation, Suisse, pain",1981-01-01,,1047.0,,4.5,323.0,24.14,0.0,21.92,1.23
54,54,1,0,"Cream, whipped, cream topping, pressurized","Crème, garniture fouettée, sous pression (bombe)",1981-01-01,,1054.0,,12.49,258.0,22.22,0.0,3.2,8.0
55,55,1,0,"Eggnog, 7% M.F., Canadian product, 4% to 8% M.F.","Lait de poule, 7% M.G., produit canadien, 4% à 8% M.G.",1981-01-01,,1057.0,,8.05,88.0,4.19,0.0,4.55,8.05
56,56,1,0,"Coffee whitener (non dairy), liquid","Colorant à café (non laitier), liquide",1981-01-01,,1067.0,,11.38,136.0,9.97,0.0,1.0,11.38
57,57,1,0,"Dessert topping (non dairy), powdered","Garniture à dessert (non laitière), poudre",1981-01-01,,1070.0,,52.54,577.0,39.92,0.0,4.9,52.54
58,58,1,0,"Dessert topping (non dairy), powdered, prepared with whole milk","Garniture à dessert (non laitière), poudre, préparée avec lait entier",1981-01-01,,1071.0,,17.13,194.0,12.72,0.0,3.61,17.13
59,59,1,0,"Dessert topping (non dairy), pressurized","Garniture à dessert (non laitière), sous pression (bombe)",1981-01-01,,1072.0,,16.07,264.0,22.3,0.0,0.98,16.07
60,60,1,0,"Dessert topping (non dairy), frozen, semisolid","Garniture à dessert (non laitière), congelée, semi-solide",1981-01-01,,1073.0,,23.05,319.0,25.31,0.0,1.25,23.05
61,61,1,0,"Milk, fluid, partly skimmed, 2% M.F.","Lait, partiellement écrémé, liquide, 2% M.G.",1981-01-01,,1079.0,,4.8,50.0,1.98,0.0,3.3,5.06
63,63,1,0,"Milk, fluid, partly skimmed, 1% M.F.","Lait, liquide, partiellement écrémé, 1% M.G.",1989-01-01,,1082.0,,4.99,42.0,0.97,0.0,3.37,5.2
66,66,1,1,"Milk, dry whole","Lait, poudre, entier",1981-01-01,,1090.0,,38.42,496.0,26.71,0.0,26.32,38.42
67,67,1,0,"Milk, dry, buttermilk, sweet cream","Babeurre, poudre, crème douce",1981-01-01,,1094.0,,49.0,387.0,5.78,0.0,34.3,49.0
68,68,1,3,"Milk, condensed, sweetened, canned","Lait, concentré, sucré, conserve",1981-01-01,,1095.0,,54.4,321.0,8.7,0.0,7.91,54.4
69,69,1,0,"Milk, fluid, chocolate, whole","Lait, liquide, chocolat, entier",1981-01-01,,1102.0,,10.34,83.0,3.39,0.8,3.17,9.54
70,70,1,0,"Milk, fluid, chocolate, partly skimmed, 2% M.F.","Lait, liquide, chocolat, partiellement écrémé, 2% M.G.",1981-01-01,,1103.0,,12.13,77.0,1.9,0.7,2.99,9.55
71,71,14,1,"Hot chocolate, cocoa, homemade, prepared with 2% milk","Chocolat chaud, cacao, fait maison, préparé avec lait 2% m.g.",1995-01-01,,1105.0,,10.74,77.0,2.34,1.0,3.52,9.66
72,72,1,0,"Milk, fluid, goat, enriched, whole","Lait, liquide, chèvre, enrichi, entier",1981-01-01,,1106.0,,4.45,69.0,4.14,0.0,3.56,4.45
73,73,1,0,"Milk, fluid, human (breast milk), mature","Lait, liquide, humain (lait maternel), mature, entier",1981-01-01,,1107.0,,6.89,70.0,4.38,0.0,1.03,6.89
74,74,1,0,"Milk, fluid, sheep, whole","Lait, liquide, brebis, entier",1981-01-01,,1109.0,,5.36,108.0,7.0,0.0,5.98,
75,75,14,1,"Milk shake, chocolate, thick","Lait frappé, chocolat, épais",1981-01-01,,1110.0,,21.15,119.0,2.7,0.3,3.05,20.85
76,76,14,1,"Milk shake, vanilla, thick","Lait frappé, vanille, épais",1981-01-01,,1111.0,,17.75,112.0,3.03,0.0,3.86,17.75
77,77,1,0,"Whey, acid, fluid","Lactoserum, acide, liquide",1981-01-01,,1112.0,,5.12,24.0,0.09,0.0,0.76,5.12
78,78,1,0,"Whey, acid, dry","Lactoserum, acide, poudre",1981-01-01,,1113.0,,73.45,339.0,0.54,0.0,11.73,73.45
79,79,1,0,"Whey, sweet, fluid","Lactoserum, sucré, liquide",1981-01-01,,1114.0,,5.14,27.0,0.36,0.0,0.85,5.14
80,80,1,0,"Whey, sweet, dry","Lactoserum, sucré, poudre",1981-01-01,,1115.0,,74.46,353.0,1.07,0.0,12.93,74.46
83,83,1,0,"Egg, chicken, dried, whole","Oeuf, poule, déshydraté, entier",1981-01-01,,1133.0,,1.53,605.0,43.04,0.0,48.37,0.3
84,84,1,0,"Egg, chicken, dried, whole, stabilized","Oeuf, poule, déshydraté, entier, stabilisé",1981-01-01,,1134.0,,2.38,615.0,43.95,0.0,48.17,
85,85,1,0,"Egg, chicken, white, pan dried, flakes","Oeuf, poule, blanc, séché, flocons",1981-01-01,,1135.0,,4.17,351.0,0.04,0.0,76.92,0.0
86,86,1,0,"Egg, chicken, white, dried, powder, glucose reduced","Oeuf, poule, blanc, déshydraté, poudre, réduit en glucose",1981-01-01,,1136.0,,4.47,376.0,0.04,0.0,82.4,0.0
87,87,1,0,"Egg, chicken, yolk, dried","Oeuf, poule, jaune, déshydraté",1981-01-01,,1137.0,,2.1,679.0,58.13,0.0,33.73,0.07
88,88,1,0,"Egg, duck, whole, fresh, raw","Oeuf, canard, entier, frais, cru",1981-01-01,,1138.0,,1.45,186.0,13.77,0.0,12.81,0.93
89,89,1,0,"Egg, goose, whole, fresh, raw","Oeuf, oie, entier, frais, cru",1981-01-01,,1139.0,,1.35,185.0,13.27,0.0,13.87,0.94
90,90,1,0,"Egg, quail, whole, fresh, raw","Oeuf, caille, entier, frais, cru",1981-01-01,,1140.0,,0.41,159.0,11.09,0.0,13.05,0.4
91,91,1,0,"Egg, turkey, whole, fresh, raw","Oeuf, dinde, entier, frais, cru",1981-01-01,,1141.0,Meleagris gallopavo,1.15,171.0,11.88,0.0,13.68,
92,92,1,0,"Butter, unsalted","Beurre, sans sel",1981-01-01,,1145.0,,0.06,717.0,81.11,0.0,0.85,0.06
93,93,1,0,"Cheese, parmesan, shredded","Fromage parmesan, râpé en filaments",1981-01-01,,1146.0,,3.41,415.0,27.34,0.0,37.86,0.9
96,96,1,0,"Cheese, goat, hard, (less than 35% water, 36% M.F.)","Fromage chèvre, dur, (moins de 35% eau, 36% M.G.)",1993-01-01,,1156.0,,2.17,452.0,35.59,0.0,30.52,2.17
97,97,1,0,"Cheese, goat, semi-soft, (35% to 55% water, 30% M.F.)","Fromage de chèvre, semi-mou, (35% à 55% eau, 30% M.G.)",1993-01-01,,1157.0,,0.12,364.0,29.84,0.0,21.58,0.12
98,98,1,0,"Cheese, goat, soft, (more than 55% water, 21% M.F.)","Fromage de chèvre, mou, (plus de 55% eau, 21% M.G.)",1993-01-01,,1159.0,,0.0,264.0,21.08,0.0,18.52,0.0
100,100,1,30,Cheese fondue,Fondue au fromage,1995-01-01,,1163.0,,3.77,229.0,13.47,0.0,14.23,
101,101,1,0,"Cheese sauce, homemade","Fromage, sauce, faite maison",1995-01-01,,1164.0,,5.48,197.0,14.92,0.1,10.33,0.19
102,102,1,0,"Cheese, Mexican, queso anejo","Fromage mexicain, queso anejo",1995-01-01,,1165.0,,4.63,373.0,29.98,0.0,21.44,4.63
103,103,1,0,"Cheese, Mexican, queso asadero","Fromage mexicain, queso asadero",1995-01-01,,1166.0,,2.87,356.0,28.26,0.0,22.6,2.87
104,104,1,0,"Cheese, Mexican, queso chihuahua","Fromage Mexicain, queso chihuahua",1995-01-01,,1167.0,,5.56,375.0,29.68,0.0,21.56,5.56
105,105,1,0,"Cheese, cheddar or colby type, low fat (7% M.F.)","Fromage, type cheddar ou colby, faible en gras (7% M.G.)",1995-01-01,,1168.0,,1.91,173.0,7.0,0.0,24.35,0.52
106,106,1,0,"Cheese, cheddar or colby type, low sodium","Fromage, type cheddar ou colby, faible en sodium",1995-01-01,,1169.0,,1.91,398.0,32.62,0.0,24.35,0.49
107,107,1,1,"Cheese, cottage, (1% M.F.)","Fromage cottage, (1% M.G.)",1981-01-01,,1016.0,,2.72,72.0,1.02,0.0,12.39,2.72
108,108,1,1,"Cheese, feta",Fromage féta,1981-01-01,,1019.0,,4.09,264.0,21.28,0.0,14.21,4.09
109,109,1,0,"Cheese, gouda",Fromage gouda,1981-01-01,,1022.0,,2.22,357.0,28.0,0.0,24.94,2.22
110,110,1,1,"Cheese, mozzarella, (52% water, 22.5% M.F.)","Fromage mozzarella, (52% eau, 22.5% M.G.)",1981-01-01,,1026.0,,2.19,300.0,22.35,0.0,22.17,1.03
111,111,1,1,"Cheese, mozzarella, partially skim, (52% water, 16.5% M.F.)","Fromage mozzarella, partiellement écrémé, (52% eau, 16.5% M.G.)",1981-01-01,,1028.0,,2.77,254.0,15.92,0.0,24.26,1.13
112,112,1,1,"Milk, evaporated, skim, canned, undiluted, 0.2% M.F.","Lait, concentré, écrémé, conserve, non dilué, 0.2% M.G.",1981-01-01,,1097.0,,11.35,78.0,0.2,0.0,7.55,11.35
113,113,1,0,"Milk, fluid, whole, pasteurized, homogenized, 3.25% M.F.","Lait, liquide, entier, homogénéisé, pasteurisé, 3.25% M.G.",1981-01-01,,1077.0,,4.8,61.0,3.25,0.0,3.15,5.05
114,114,1,0,"Milk, fluid, skim","Lait, liquide, écrémé",1981-01-01,,1085.0,,4.96,34.0,0.08,0.0,3.37,5.09
115,115,1,1,"Milk, dry, skim, powder, instant","Lait, poudre, écrémé, instant",1981-01-01,,1092.0,,52.19,358.0,0.72,0.0,35.1,52.19
116,116,14,1,"Hot chocolate, cocoa, homemade, prepared with whole milk","Chocolat chaud, cacao, fait maison, préparé avec lait entier",1981-01-01,,,,11.79,94.0,3.62,1.2,3.64,9.67
117,117,1,3,"Egg substitute, frozen (yolk replaced)","Oeuf, succédané, congelé (jaune remplacé)",1981-01-01,,1142.0,,3.2,160.0,11.11,0.0,11.29,3.2
118,118,1,3,"Butter, regular","Beurre, salé",1981-01-01,,1001.0,,0.06,717.0,81.11,0.0,0.85,0.06
119,119,1,3,"Cheese, cheddar",Fromage cheddar,1981-01-01,,1009.0,,1.33,406.0,33.82,0.0,24.04,0.28
120,120,1,3,"Cheese, cottage, (2% M.F.)","Fromage cottage, (2% M.G.)",1981-01-01,,1015.0,,4.76,81.0,2.27,0.0,10.45,4.0
122,122,1,3,"Coffee whitener (non dairy), powdered","Colorant à café (non laitier), en poudre",1981-01-01,,1069.0,,54.88,545.0,35.48,0.0,4.79,54.88
123,123,1,0,"Milk, fluid, whole, producer, 3.7% M.F.","Lait, liquide, entier, agriculteur, 3.7% M.G.",1990-01-01,,1078.0,,4.65,64.0,3.66,0.0,3.28,
124,124,1,0,"Milk, fluid, buttermilk, cultured, 1% M.F.","Babeurre, liquide, culture, 1% M.G.",1981-01-01,,1088.0,,4.79,40.0,0.88,0.0,3.31,4.79
125,125,1,24,"Egg, chicken, whole, fresh or frozen, raw","Oeuf, poule, entier, frais ou congelé, cru",1989-01-01,1999-02-01,1123.0,,0.98,145.0,10.01,0.0,11.8,0.77
126,126,1,23,"Egg, chicken, white, fresh or frozen, raw","Oeuf, poule, blanc, frais ou congelé, cru",1989-01-01,1999-02-01,1124.0,,1.18,48.0,0.0,0.0,9.99,0.71
127,127,1,23,"Egg, chicken, yolk, fresh or frozen, raw","Oeuf, poule, jaune, frais ou congelé, cru",1989-01-01,1999-02-01,1125.0,,0.53,366.0,32.68,0.0,15.9,0.56
129,129,1,4,"Egg, chicken, whole, cooked, fried","Oeuf, poule, entier, cuit, frit",1989-01-01,,1128.0,,1.11,193.0,14.81,0.0,12.87,0.84
130,130,1,36,"Egg, chicken, whole, cooked, boiled in shell, hard-cooked","Oeuf, poule, entier, cuit, bouilli à la coque, dur",1990-01-01,,1129.0,,1.85,141.0,10.01,0.0,11.8,0.77
132,132,1,4,"Egg, chicken, whole, cooked, poached","Oeuf, poule, entier, cuit, poché",1989-01-01,,1131.0,,0.98,145.0,10.01,0.0,11.8,0.77
133,133,1,36,"Egg, chicken, whole, cooked, scrambled or omelet","Oeuf, poule, entier, cuit, brouillé ou omelette",1989-01-01,,1132.0,,3.05,153.0,11.39,0.0,10.39,1.39
134,134,1,1,"Milk, dry, skim, powder, regular","Lait, en poudre, écrémé",1981-01-01,,1154.0,,51.98,363.0,0.77,0.0,36.16,51.98
136,136,1,24,"Cream, table (coffee), 18% M.F.","Crème à café (crème de table), 18% M.G.",1985-01-01,,,,3.77,185.0,18.0,0.0,2.74,0.14
137,137,1,24,"Cream, whipping, 32% M.F.","Crème à fouetter, 32% M.G.",1985-01-01,,,,2.96,292.0,32.0,0.0,2.07,0.11
138,138,1,24,"Cream, whipping, 35% M.F.","Crème à fouetter, 35% M.G.",1985-01-01,,,,2.85,328.0,35.0,0.0,2.09,0.11
139,139,1,0,"Cream, sour, cultured, 14% M.F","Crème sure, de culture, 14% M.G.",1981-01-01,,1178.0,,7.0,181.0,14.1,0.0,7.0,0.3
140,140,1,1,"Milk, evaporated, whole, canned, undiluted, 7.8% M.F.","Lait, concentré, entier, conserve, non dilué, 7,8% M.G.",1981-01-01,,1096.0,,10.04,134.0,7.8,0.0,6.81,10.04
147,147,1,0,"Cheese, cottage, uncreamed, dry, large or small curd, nonfat","Fromage cottage sec, pressé, sans gras, gros et petit grain",1991-01-01,,1014.0,,6.66,72.0,0.29,0.0,10.34,1.85
150,150,1,24,"Cream, cereal (half and half), 10% M.F.","Crème à céréales (moitié-moitié), 10% M.G.",1985-01-01,,,,4.42,118.0,10.0,0.0,2.99,0.16
151,151,1,24,"Cream, table (coffee), 15% M.F.","Crème, à café (de table), 15% M.G.",1985-01-01,,,,4.01,160.0,15.0,0.0,2.84,0.14
